[u'iron', 0.53460026, u'lotion', 0.078788444, u'sunscreen', 0.062156368]
[u'washer', 0.25785312, u'cowboy_hat', 0.074752972, u'pajama', 0.051526845]
[u'bikini', 0.77618396, u'brassiere', 0.12006379, u'maillot', 0.077180788]
[u'diaper', 0.63914126, u'bath_towel', 0.081046566, u'brassiere', 0.039690387]
[u'maillot', 0.60560066, u'maillot', 0.17925045, u'swimming_trunks', 0.13051784]
[u'diaper', 0.35790297, u'miniskirt', 0.20178907, u'brassiere', 0.0526703]
[u'grand_piano', 0.16508408, u'barbell', 0.11018585, u'upright', 0.053167399]
[u'miniskirt', 0.57705474, u'seat_belt', 0.052531082, u'fur_coat', 0.034586553]
[u'maillot', 0.42702651, u'bikini', 0.21942776, u'maillot', 0.20024659]
[u'balance_beam', 0.44110474, u'barbell', 0.11182781, u'punching_bag', 0.075365879]
[u'bikini', 0.38433778, u'maillot', 0.15094711, u'diaper', 0.12678164]
[u'neck_brace', 0.20360707, u'miniskirt', 0.098668218, u'knee_pad', 0.090601698]
[u'diaper', 0.56893682, u'carton', 0.12762931, u'quill', 0.063393176]
[u'miniskirt', 0.18867841, u'maillot', 0.14712827, u'sunscreen', 0.10610581]
[u'lab_coat', 0.43924561, u'toilet_tissue', 0.17188889, u'bath_towel', 0.027931748]
[u'miniskirt', 0.97232515, u'diaper', 0.0035975892, u'brassiere', 0.0032568562]
[u'diaper', 0.88937765, u'bath_towel', 0.023315575, u'swimming_trunks', 0.019395841]
[u'ice_lolly', 0.846147, u'nipple', 0.01770022, u'sunscreen', 0.015421271]
[u'miniskirt', 0.4247283, u'bathtub', 0.17455284, u'jean', 0.067210108]
[u'miniskirt', 0.99629897, u'jean', 0.0032400878, u'cowboy_boot', 0.00013074088]
[u'apron', 0.14308035, u'brassiere', 0.13866924, u'jersey', 0.047438897]
[u'diaper', 0.71280384, u'swimming_trunks', 0.10987535, u'jean', 0.03334941]
[u'bikini', 0.65857071, u'tub', 0.13314733, u'bathtub', 0.060486514]
[u'miniskirt', 0.90090108, u'jean', 0.031037558, u'brassiere', 0.019449146]
[u'lotion', 0.10326596, u'bathtub', 0.098801434, u'hog', 0.060412813]
