[u'cassette', 0.34935018, u'guillotine', 0.33943337, u'cleaver', 0.12084012, u'hard_disc', 0.053543888, u'binder', 0.013636624]
[u'microphone', 0.20492367, u'puck', 0.14482926, u'face_powder', 0.090742357, u'thimble', 0.082969517, u'sombrero', 0.043536831]
[u'dumbbell', 0.74982214, u'switch', 0.12964299, u'barbell', 0.058946699, u'disk_brake', 0.012177478, u'reflex_camera', 0.010151383]
[u'switch', 0.52064639, u'screw', 0.098068587, u'hook', 0.096423313, u'combination_lock', 0.048384126, u'whistle', 0.047999267]
[u'ping-pong_ball', 0.24195525, u'pencil_sharpener', 0.15801699, u'bearskin', 0.13071205, u'punching_bag', 0.091761269, u'bucket', 0.036527097]
[u'joystick', 0.999138, u'microphone', 0.0004200931, u'switch', 0.00018784267, u'spotlight', 5.5201213e-05, u'radio', 4.7651043e-05]
[u'switch', 0.61457634, u'combination_lock', 0.12477151, u'spotlight', 0.061732747, u'screw', 0.057588518, u'loupe', 0.033326719]
[u'bolo_tie', 0.57878464, u'bow', 0.099667445, u'spotlight', 0.039047215, u'gong', 0.02454548, u'whistle', 0.018954827]
[u'switch', 0.72869521, u'loupe', 0.065930612, u'face_powder', 0.037593905, u'spotlight', 0.036122926, u'loudspeaker', 0.016263304]
[u'switch', 0.32566291, u'screw', 0.28839976, u'spotlight', 0.06406448, u'hook', 0.042848811, u"carpenter's_kit", 0.034999274]
[u'switch', 0.74673009, u'whistle', 0.11357725, u'combination_lock', 0.03577365, u'hook', 0.015544352, u'loupe', 0.013595419]
[u'screw', 0.38022768, u'switch', 0.29188788, u'combination_lock', 0.099739142, u'hook', 0.045384187, u'loupe', 0.038476784]
[u'switch', 0.6606918, u'combination_lock', 0.072825648, u'whistle', 0.06016209, u'hook', 0.043300863, u'can_opener', 0.034026321]
[u'joystick', 0.99952221, u'switch', 9.7293741e-05, u'pencil_sharpener', 9.3794471e-05, u'swab', 3.1502179e-05, u'plunger', 3.0226405e-05]
[u'switch', 0.66084075, u'modem', 0.17943746, u'rule', 0.06545943, u'oscilloscope', 0.014475334, u'whistle', 0.010635065]
[u'switch', 0.57366973, u'loupe', 0.27314577, u'spotlight', 0.020075221, u'radio', 0.016348597, u'reflex_camera', 0.016113242]
[u'screwdriver', 0.32242429, u'power_drill', 0.2702803, u'switch', 0.14543644, u'water_bottle', 0.055044737, u'lighter', 0.053151909]
[u'joystick', 0.99179405, u'pencil_sharpener', 0.0031118223, u'switch', 0.0014366384, u'plunger', 0.0013283691, u'mousetrap', 0.00038743153]
[u'switch', 0.90824401, u'loupe', 0.031109359, u'spotlight', 0.013184723, u'face_powder', 0.0047419346, u'radio', 0.0039267694]
[u'switch', 0.62833315, u'whistle', 0.10773209, u'spotlight', 0.052112237, u'combination_lock', 0.040762551, u'hook', 0.029028764]
[u'joystick', 0.99333984, u'switch', 0.0041395728, u'punching_bag', 0.00073520117, u'maraca', 0.00029921977, u'microphone', 0.00016942473]
[u'spotlight', 0.26137733, u'switch', 0.21066189, u'loupe', 0.10539179, u'paper_towel', 0.098770559, u'screw', 0.092025742]
[u'nail', 0.63445789, u'paddlewheel', 0.26543781, u'muzzle', 0.020333866, u'folding_chair', 0.0087800007, u'packet', 0.0080326004]
[u'joystick', 0.9789114, u'switch', 0.018344527, u'plunger', 0.00047622662, u'hook', 0.00047507172, u'microphone', 0.00019739487]
[u'chain_saw', 0.13718498, u'screwdriver', 0.091376007, u'scabbard', 0.074141659, u'muzzle', 0.064461969, u'letter_opener', 0.063869931]
[u'switch', 0.85650605, u'loupe', 0.063961394, u'spotlight', 0.01634693, u'loudspeaker', 0.014321032, u'radio', 0.009518018]
[u'joystick', 0.99007612, u'switch', 0.0090815853, u'plunger', 0.00011195282, u'radio', 8.7728498e-05, u'hook', 8.732875e-05]
[u'switch', 0.58072633, u'screw', 0.11324213, u'lighter', 0.055288106, u'can_opener', 0.04555133, u'combination_lock', 0.021736683]
[u'joystick', 0.99936479, u'switch', 0.00035818058, u'candle', 5.7733036e-05, u'nail', 3.4629862e-05, u'table_lamp', 1.8905044e-05]
[u'joystick', 0.99869847, u'switch', 0.0011312003, u'plane', 5.1763931e-05, u'hook', 3.4922166e-05, u'microphone', 1.689913e-05]
[u'switch', 0.83057493, u'screw', 0.054176092, u'loupe', 0.031616461, u'spotlight', 0.021172246, u'plunger', 0.0115002]
[u'joystick', 0.98303741, u'plunger', 0.011114897, u'switch', 0.0029920647, u'spotlight', 0.00060757232, u'table_lamp', 0.00022751348]
[u'loupe', 0.51440561, u'switch', 0.34566337, u'radio', 0.023318784, u'loudspeaker', 0.021748289, u'spotlight', 0.019254269]
[u'stopwatch', 0.22326906, u'whistle', 0.20397703, u'hand_blower', 0.11040062, u'joystick', 0.075529471, u'bolo_tie', 0.063460596]
[u'traffic_light', 0.30210403, u'switch', 0.14720342, u'spotlight', 0.1181532, u'pop_bottle', 0.112841, u'loudspeaker', 0.025684081]
[u'joystick', 0.99620491, u'candle', 0.0011324608, u'pencil_sharpener', 0.00069179013, u'switch', 0.0004321489, u'plunger', 0.00039449881]
[u'switch', 0.18803331, u'loudspeaker', 0.10044686, u'mortarboard', 0.062350497, u'radio', 0.058260281, u'modem', 0.057862435]
[u'power_drill', 0.74051142, u"carpenter's_kit", 0.15655479, u'chain_saw', 0.010660384, u'hammer', 0.0097254775, u'screwdriver', 0.0068824873]
[u'switch', 0.98952395, u'loupe', 0.003997264, u'spotlight', 0.001279945, u'modem', 0.0011702278, u'magnetic_compass', 0.00063738716]
[u'spotlight', 0.53547734, u'projector', 0.25246584, u'loupe', 0.12573066, u'traffic_light', 0.031854268, u'binoculars', 0.02098579]
[u'web_site', 0.047029156, u'plunger', 0.02634819, u'hair_spray', 0.024718208, u'book_jacket', 0.022923252, u'pill_bottle', 0.022396902]
[u'loudspeaker', 0.96419662, u'radio', 0.023123479, u'switch', 0.0037186809, u'cassette_player', 0.0012757976, u'CD_player', 0.00098121969]
[u'power_drill', 0.43968612, u'switch', 0.15200363, u'water_bottle', 0.13489114, u'knee_pad', 0.053807363, u'lighter', 0.03627127]
[u'screen', 0.19329886, u'digital_clock', 0.1181432, u'cash_machine', 0.10301857, u'monitor', 0.082487315, u'web_site', 0.047431607]
[u'switch', 0.80809945, u'spotlight', 0.043200668, u'screw', 0.034186635, u'combination_lock', 0.033448853, u'hook', 0.012494538]
