[u'jeep', 0.45037273, u'snowplow', 0.37095153, u'tractor', 0.051635265, u'harvester', 0.023617452, u'half_track', 0.017262425]
[u'jeep', 0.44990912, u'amphibian', 0.10412562, u'harvester', 0.092479296, u'tow_truck', 0.036335286, u'pickup', 0.035406284]
[u'golfcart', 0.39732549, u'snowplow', 0.24708408, u'half_track', 0.12032975, u'jeep', 0.11312205, u'forklift', 0.054342743]
[u'jeep', 0.90208644, u'golfcart', 0.03397724, u'half_track', 0.019322004, u'forklift', 0.0048161722, u'pickup', 0.004404908]
[u'forklift', 0.24866891, u'golfcart', 0.16264166, u'jeep', 0.1428638, u'snowplow', 0.13006756, u'harvester', 0.109357]
[u'snowplow', 0.65541422, u'lawn_mower', 0.12369459, u'jeep', 0.051250402, u'ambulance', 0.037553176, u'tractor', 0.036637597]
[u'jeep', 0.80128193, u'tractor', 0.047140095, u'harvester', 0.042246237, u'snowplow', 0.032043818, u'golfcart', 0.025461651]
[u'mosquito_net', 0.076307312, u'four-poster', 0.063874662, u'window_shade', 0.05793976, u'lampshade', 0.047165871, u'pier', 0.040117379]
[u'golfcart', 0.48013431, u'jeep', 0.41772434, u'lawn_mower', 0.045616519, u'pickup', 0.012009328, u'tractor', 0.010086026]
[u'jeep', 0.70522952, u'half_track', 0.14125144, u'military_uniform', 0.047280114, u'golfcart', 0.028579697, u'ambulance', 0.015736915]
[u'convertible', 0.12379243, u'stretcher', 0.064923495, u'minivan', 0.040951751, u'mailbag', 0.030539313, u'bannister', 0.023626762]
[u'jeep', 0.50610846, u'forklift', 0.17992975, u'tractor', 0.14059217, u'harvester', 0.073028475, u'half_track', 0.029760968]
[u'harvester', 0.48831177, u'tractor', 0.21083443, u'jeep', 0.11612355, u'snowplow', 0.051633362, u'lawn_mower', 0.040793378]
[u'golfcart', 0.69996411, u'tractor', 0.15658996, u'forklift', 0.059590127, u'harvester', 0.02715943, u'snowplow', 0.023803737]
[u'snowplow', 0.33253688, u'jeep', 0.18134491, u'forklift', 0.16012089, u'tractor', 0.074950524, u'harvester', 0.060298346]
[u'jeep', 0.51901007, u'golfcart', 0.13917905, u'half_track', 0.051037379, u'lawn_mower', 0.046183947, u'snowplow', 0.023474393]
[u'jeep', 0.6039238, u'tractor', 0.21021166, u'forklift', 0.045961868, u'harvester', 0.031392183, u'plow', 0.027457442]
[u'jeep', 0.83755523, u'golfcart', 0.08065109, u'forklift', 0.021082215, u'half_track', 0.020154525, u'tow_truck', 0.010216261]
[u'jeep', 0.46082416, u'golfcart', 0.29769054, u'snowplow', 0.13544497, u'forklift', 0.057990152, u'ambulance', 0.0081563033]
[u'forklift', 0.28571436, u'jeep', 0.23961373, u'tow_truck', 0.077545054, u'half_track', 0.074736893, u'harvester', 0.071638636]
[u'harvester', 0.52410281, u'lawn_mower', 0.14727023, u'jeep', 0.11724454, u'tractor', 0.08286345, u'snowplow', 0.040606517]
[u'jeep', 0.42135841, u'forklift', 0.17364766, u'golfcart', 0.077922434, u'harvester', 0.06706126, u'amphibian', 0.051156174]
