[u'book_jacket', 0.41248238, u'jersey', 0.11346739, u'tray', 0.067911021, u'packet', 0.050646495, u'envelope', 0.046093758]
[u'stage', 0.96987975, u'drum', 0.005762212, u'drumstick', 0.0053461362, u'marimba', 0.0038747878, u'spotlight', 0.0032598784]
[u'stage', 0.95688629, u'microphone', 0.012483256, u'electric_guitar', 0.0076306434, u'accordion', 0.0057867579, u'spotlight', 0.0034654702]
[u'stage', 0.65859151, u'banjo', 0.24827632, u'microphone', 0.033300806, u'acoustic_guitar', 0.020955339, u'electric_guitar', 0.017315092]
[u'stage', 0.964917, u'microphone', 0.011884719, u'spotlight', 0.0068873665, u'electric_guitar', 0.0051117148, u'acoustic_guitar', 0.0036991215]
[u'stage', 0.99527055, u'microphone', 0.0013296343, u'electric_guitar', 0.0012066461, u'spotlight', 0.0011101038, u'accordion', 0.00037815367]
[u'stage', 0.58620393, u'microphone', 0.1653565, u'electric_guitar', 0.12472399, u'banjo', 0.050574362, u'spotlight', 0.037817843]
[u'stage', 0.95748878, u'spotlight', 0.015206218, u'electric_guitar', 0.013264338, u'drum', 0.0021903962, u'banjo', 0.0017629456]
[u'stage', 0.9268868, u'spotlight', 0.027202399, u'electric_guitar', 0.017334519, u'banjo', 0.0070748101, u'acoustic_guitar', 0.0061481143]
[u'stage', 0.99435836, u'spotlight', 0.0029757924, u'theater_curtain', 0.0019571339, u'microphone', 0.00024932309, u'electric_guitar', 9.8578865e-05]
[u'stage', 0.69808215, u'banjo', 0.12534104, u'electric_guitar', 0.099188857, u'sax', 0.048722625, u'acoustic_guitar', 0.0080672773]
[u'sax', 0.44291088, u'stage', 0.42107078, u'banjo', 0.036107074, u'cornet', 0.024124561, u'electric_guitar', 0.021216255]
[u'stage', 0.97455728, u'electric_guitar', 0.015301832, u'spotlight', 0.0040517407, u'microphone', 0.0035031233, u'accordion', 0.00070801046]
[u'stage', 0.94108015, u'microphone', 0.02097705, u'cornet', 0.013909482, u'sax', 0.0066250521, u'trombone', 0.0043953974]
[u'electric_guitar', 0.59357965, u'stage', 0.36405903, u'acoustic_guitar', 0.026932459, u'microphone', 0.010850795, u'spotlight', 0.00080009078]
[u'book_jacket', 0.49964419, u'menu', 0.26631987, u'binder', 0.045223348, u'comic_book', 0.033850573, u'laptop', 0.021527264]
[u'stage', 0.98316979, u'spotlight', 0.0039148163, u'monitor', 0.0029819356, u'loudspeaker', 0.0024372109, u'television', 0.00098700775]
[u'ski', 0.20983282, u'paintbrush', 0.18808486, u'padlock', 0.16784, u'shovel', 0.12412789, u'jean', 0.09081313]
[u'book_jacket', 0.79428625, u'comic_book', 0.13569871, u'tray', 0.014949203, u'football_helmet', 0.014714126, u'jersey', 0.011653281]
[u'electric_guitar', 0.83188695, u'stage', 0.094496951, u'acoustic_guitar', 0.046091307, u'banjo', 0.026432747, u'microphone', 0.00056544621]
[u'stage', 0.91962433, u'electric_guitar', 0.060863588, u'banjo', 0.0061923452, u'accordion', 0.0016697861, u'drum', 0.0015118298]
