[u'jersey', 0.16706549, u'iron', 0.087450936, u'mailbag', 0.049798805, u'dial_telephone', 0.037859812, u'electric_guitar', 0.030033454]
[u'stage', 0.8898682, u'microphone', 0.063988619, u'electric_guitar', 0.0082074087, u'sax', 0.0080333715, u'acoustic_guitar', 0.0070275972]
[u'stage', 0.7179988, u'electric_guitar', 0.083921634, u'microphone', 0.071260862, u'spotlight', 0.037548363, u'acoustic_guitar', 0.015693547]
[u'stage', 0.96211505, u'spotlight', 0.018804988, u'electric_guitar', 0.0081229638, u'microphone', 0.0036578134, u'sax', 0.0011566246]
[u'stage', 0.6467728, u'spotlight', 0.11992413, u'microphone', 0.054800432, u'sax', 0.053745881, u'electric_guitar', 0.039742284]
[u'stage', 0.95202518, u'spotlight', 0.021181084, u'electric_guitar', 0.0049475129, u'theater_curtain', 0.0036734689, u'sax', 0.0023709193]
[u'stage', 0.87128949, u'spotlight', 0.066560738, u'electric_guitar', 0.030265832, u'sax', 0.0040072454, u'microphone', 0.0039558331]
[u'stage', 0.97389787, u'spotlight', 0.017565304, u'theater_curtain', 0.0037416385, u'electric_guitar', 0.0012449662, u'microphone', 0.00079525932]
[u'stage', 0.79420406, u'electric_guitar', 0.069678821, u'spotlight', 0.059626516, u'sax', 0.017869983, u'microphone', 0.0093050506]
[u'sax', 0.37946334, u'electric_guitar', 0.17358887, u'stage', 0.12345009, u'trombone', 0.068564355, u'cornet', 0.062891133]
[u'stage', 0.9545176, u'spotlight', 0.038334161, u'electric_guitar', 0.0020017375, u'theater_curtain', 0.0010701274, u'microphone', 0.0010298167]
[u'stage', 0.90336156, u'sax', 0.03744176, u'electric_guitar', 0.014680901, u'cornet', 0.007783758, u'acoustic_guitar', 0.0051071672]
[u'stage', 0.8418923, u'electric_guitar', 0.087633952, u'microphone', 0.052496422, u'spotlight', 0.010710357, u'acoustic_guitar', 0.0026393873]
[u'book_jacket', 0.32916415, u'envelope', 0.099312685, u'shower_curtain', 0.090010189, u'menu', 0.061877843, u'carton', 0.057112966]
[u'stage', 0.81313163, u'spotlight', 0.042257089, u'loudspeaker', 0.041162509, u'electric_guitar', 0.018121656, u'garbage_truck', 0.0084239859]
[u'toyshop', 0.43805537, u'shoe_shop', 0.15194301, u'ski', 0.076937258, u'jigsaw_puzzle', 0.044422805, u'padlock', 0.04207712]
[u'comic_book', 0.55732697, u'book_jacket', 0.35447285, u'football_helmet', 0.033768162, u'jersey', 0.01570018, u'ballplayer', 0.0059918687]
[u'electric_guitar', 0.53444213, u'stage', 0.4176769, u'microphone', 0.018972933, u'acoustic_guitar', 0.018011535, u'banjo', 0.006839185]
[u'stage', 0.85474801, u'steam_locomotive', 0.017607301, u'spotlight', 0.0068335049, u'electric_guitar', 0.0067848382, u'cornet', 0.0064690057]
