[u'snowplow', 0.75370222, u'jeep', 0.14992353, u'golfcart', 0.034806628, u'forklift', 0.014095535, u'tractor', 0.012439241]
[u'jeep', 0.20760766, u'golfcart', 0.17297834, u'recreational_vehicle', 0.088524789, u'ambulance', 0.086887032, u'pickup', 0.086480878]
[u'jeep', 0.88030154, u'tow_truck', 0.03134156, u'beach_wagon', 0.016569434, u'golfcart', 0.015753379, u'amphibian', 0.0096201925]
[u'golfcart', 0.5879671, u'jeep', 0.15899391, u'snowplow', 0.090347826, u'half_track', 0.048891418, u'tractor', 0.02512731]
[u'golfcart', 0.78039908, u'jeep', 0.11183365, u'half_track', 0.066616595, u'tow_truck', 0.0081271809, u'lawn_mower', 0.007714035]
[u'forklift', 0.31389436, u'garbage_truck', 0.24082911, u'jeep', 0.14025204, u'golfcart', 0.090152152, u'tow_truck', 0.051242869]
[u'snowplow', 0.85162407, u'ambulance', 0.03489092, u'snowmobile', 0.017659055, u'tractor', 0.013977085, u'stretcher', 0.0080545442]
[u'jeep', 0.45515516, u'golfcart', 0.2573604, u'tractor', 0.08670608, u'snowplow', 0.051600557, u'pickup', 0.036548182]
[u'street_sign', 0.18730994, u'crane', 0.059500981, u'forklift', 0.052607797, u'digital_clock', 0.049284995, u'bell_cote', 0.042056747]
[u'golfcart', 0.98903531, u'jeep', 0.0050396076, u'lawn_mower', 0.0034074399, u'tractor', 0.00061364897, u'harvester', 0.00040487724]
[u'jeep', 0.45299053, u'golfcart', 0.35055307, u'half_track', 0.054021113, u'tow_truck', 0.031956978, u'ambulance', 0.020397184]
[u'stretcher', 0.39295632, u'bobsled', 0.33034116, u'ambulance', 0.047340102, u'minivan', 0.024033139, u'bassinet', 0.013159275]
[u'forklift', 0.51894575, u'golfcart', 0.20719846, u'tractor', 0.12668458, u'lawn_mower', 0.046468709, u'harvester', 0.043876778]
[u'jeep', 0.32585022, u'harvester', 0.25734922, u'tractor', 0.10663019, u'snowplow', 0.080934122, u'tow_truck', 0.039106667]
[u'golfcart', 0.78816646, u'tractor', 0.11353489, u'lawn_mower', 0.045472175, u'harvester', 0.025092276, u'forklift', 0.012770203]
[u'plow', 0.22559482, u'forklift', 0.15760581, u'harvester', 0.1536895, u'tractor', 0.14228901, u'snowplow', 0.09709534]
[u'jeep', 0.62712181, u'golfcart', 0.13518775, u'half_track', 0.068415992, u'pickup', 0.038546771, u'tow_truck', 0.031057231]
[u'jeep', 0.36272019, u'tractor', 0.12850247, u'golfcart', 0.11591708, u'lawn_mower', 0.068570875, u'harvester', 0.057286553]
[u'jeep', 0.57513702, u'golfcart', 0.31509468, u'half_track', 0.030357707, u'ambulance', 0.014240765, u'pickup', 0.010670754]
[u'jeep', 0.51972562, u'golfcart', 0.3340084, u'ambulance', 0.094503857, u'snowplow', 0.022651417, u'pickup', 0.005295448]
[u'golfcart', 0.22490419, u'lawn_mower', 0.19113199, u'forklift', 0.15738201, u'harvester', 0.14442709, u'tractor', 0.070573859]
[u'jeep', 0.64695656, u'harvester', 0.092186332, u'half_track', 0.051767211, u'lawn_mower', 0.041785534, u'tractor', 0.04177187]
[u'harvester', 0.26486793, u'jeep', 0.23573056, u'tractor', 0.19850524, u'forklift', 0.065543219, u'snowplow', 0.0506947]
