[u'microphone', 0.051204965, u'hand_blower', 0.050567448, u'iron', 0.034675755, u'pay-phone', 0.034058049, u'book_jacket', 0.033570435]
[u'stage', 0.98073375, u'theater_curtain', 0.0086080739, u'spotlight', 0.0045588738, u'loudspeaker', 0.00096327229, u'unicycle', 0.0007368786]
[u'stage', 0.90908086, u'spotlight', 0.039846957, u'electric_guitar', 0.024660457, u'microphone', 0.0071145832, u'sax', 0.0035346493]
[u'stage', 0.84199524, u'spotlight', 0.099670708, u'electric_guitar', 0.018007055, u'microphone', 0.015775068, u'sax', 0.0029326994]
[u'stage', 0.8542363, u'drumstick', 0.03945566, u'drum', 0.02627424, u'steel_drum', 0.019691711, u'marimba', 0.013372848]
[u'stage', 0.77028829, u'electric_guitar', 0.094633788, u'spotlight', 0.04609853, u'microphone', 0.027489228, u'banjo', 0.01952333]
[u'stage', 0.9412207, u'electric_guitar', 0.023301812, u'microphone', 0.019942883, u'acoustic_guitar', 0.0035364206, u'cornet', 0.0025887173]
[u'stage', 0.69362688, u'electric_guitar', 0.149975, u'microphone', 0.068503313, u'spotlight', 0.032322928, u'acoustic_guitar', 0.01125465]
[u'stage', 0.9242084, u'electric_guitar', 0.029562313, u'spotlight', 0.016328368, u'microphone', 0.011725638, u'banjo', 0.0037102634]
[u'stage', 0.42256704, u'sax', 0.20716897, u'electric_guitar', 0.1027947, u'microphone', 0.059769396, u'spotlight', 0.044000212]
[u'stage', 0.94195682, u'spotlight', 0.014330029, u'trombone', 0.0089251846, u'cornet', 0.0057582092, u'drum', 0.0045436551]
[u'stage', 0.90142345, u'sax', 0.032116868, u'electric_guitar', 0.026818836, u'spotlight', 0.0071363631, u'trombone', 0.0056303702]
[u'stage', 0.92982668, u'unicycle', 0.028456628, u'spotlight', 0.022915753, u'theater_curtain', 0.0059438511, u'torch', 0.0024015147]
[u'stage', 0.49023172, u'sax', 0.20415369, u'electric_guitar', 0.095756739, u'cornet', 0.061993353, u'trombone', 0.037685588]
[u'stage', 0.46512276, u'electric_guitar', 0.17134768, u'sax', 0.15992607, u'cornet', 0.062725797, u'trombone', 0.029983578]
[u'stage', 0.91873527, u'spotlight', 0.069620438, u'microphone', 0.0018835865, u'electric_guitar', 0.001790655, u'sax', 0.0013190613]
[u'stage', 0.95660764, u'microphone', 0.017872719, u'electric_guitar', 0.0073606102, u'spotlight', 0.0033501429, u'acoustic_guitar', 0.0030112192]
[u'stage', 0.62958175, u'electric_guitar', 0.23265244, u'microphone', 0.083872609, u'acoustic_guitar', 0.022777066, u'spotlight', 0.011128108]
[u'book_jacket', 0.6670996, u'comic_book', 0.16577859, u'toyshop', 0.013723023, u'menu', 0.012650099, u'jigsaw_puzzle', 0.012003686]
[u'stage', 0.92726749, u'spotlight', 0.026624652, u'loudspeaker', 0.0044898475, u'electric_guitar', 0.0036803598, u'television', 0.0034124269]
[u'shoe_shop', 0.62517864, u'toyshop', 0.12666413, u'paintbrush', 0.06081406, u'padlock', 0.039837521, u'shower_curtain', 0.027795376]
[u'comic_book', 0.65259689, u'book_jacket', 0.19389829, u'jersey', 0.074875027, u'football_helmet', 0.035389412, u'puck', 0.019428115]
[u'stage', 0.48243284, u'electric_guitar', 0.47676411, u'banjo', 0.014095116, u'microphone', 0.0094448291, u'drumstick', 0.0066666645]
[u'stage', 0.72358871, u'steam_locomotive', 0.065122671, u'fire_engine', 0.022030737, u'gong', 0.014226344, u'drum', 0.011221047]
